Polarization of Light 'theta' Data File Tue, Jan 23, 2018 9:58 AM
Sensor Position (Radians)	Light Intensity (Volts)
1.00356	0.59447
1.00356	0.59511
1.00356	0.59689
1.00356	0.59318
1.00356	0.58964
1.00356	0.59350
1.00356	0.58996
1.00356	0.59399
1.00356	0.59399
1.00356	0.59157
1.00356	0.59656
1.00356	0.59286
1.00356	0.59399
1.00356	0.59238
1.00356	0.59560
1.00356	0.59544
1.00356	0.59705
1.00356	0.59560
1.00356	0.59044
1.00356	0.59270
1.00356	0.59511
1.00356	0.59173
1.00356	0.59286
1.00356	0.59399
1.00793	0.59238
1.01229	0.57836
1.02102	0.57433
1.02102	0.57046
1.02102	0.56773
1.02102	0.57562
1.03411	0.56064
1.03847	0.55339
1.03847	0.55242
1.03847	0.54549
1.03847	0.55065
1.03847	0.55065
1.04283	0.54855
1.04720	0.54066
1.05592	0.52680
1.06029	0.52358
1.06029	0.52165
1.06029	0.52616
1.06029	0.52036
1.06029	0.52745
1.06029	0.52197
1.06465	0.51971
1.06901	0.50699
1.07338	0.50666
1.07338	0.50521
1.07338	0.50844
1.07338	0.50570
1.07338	0.50940
1.07338	0.50489
1.07774	0.49233
1.08647	0.48717
1.09083	0.48701
1.09083	0.48604
1.09083	0.48798
1.09083	0.48250
1.09083	0.48910
1.09083	0.48604
1.09519	0.47396
1.10392	0.46639
1.10828	0.45640
1.11265	0.45205
1.11265	0.44995
1.11701	0.44480
1.12137	0.43932
1.12137	0.43062
1.12137	0.43771
1.13010	0.42595
1.13446	0.42192
1.13883	0.41741
1.13883	0.41580
1.13883	0.41660
1.13883	0.41129
1.13883	0.41483
1.13883	0.41048
1.14319	0.41274
1.14755	0.40049
1.14755	0.39679
1.14755	0.39405
1.14755	0.39340
1.14755	0.39501
1.14755	0.39630
1.14755	0.39679
1.14755	0.39727
1.14755	0.40049
1.14755	0.39340
1.15192	0.39179
1.16064	0.38341
1.16064	0.37729
1.16064	0.37858
1.16064	0.37939
1.16501	0.37439
1.16501	0.37971
1.16501	0.37101
1.16501	0.37310
1.16501	0.37359
1.16501	0.36956
1.17373	0.36440
1.17810	0.35989
1.17810	0.35796
1.17810	0.35425
1.17810	0.35248
1.17810	0.35280
1.17810	0.35586
1.18682	0.34604
1.19119	0.33814
1.19119	0.33508
1.19119	0.34201
1.19119	0.34169
1.19555	0.33427
1.19991	0.32719
1.19991	0.31784
1.20428	0.31752
1.20428	0.31784
1.20428	0.31671
1.20428	0.32090
1.20428	0.31816
1.20864	0.31236
1.21300	0.30447
1.21300	0.29545
1.21300	0.29819
1.21737	0.30028
1.21737	0.30109
1.21737	0.30125
1.22173	0.29609
1.22173	0.28771
1.22609	0.28256
1.22609	0.28546
1.22609	0.28030
1.22609	0.28497
