# Polarization of Light 'Brewsters' Data File Thu, Jan 25, 2018 10:09 AM
# Sensor Position (Degrees)	Light Intensity (Volts)
182.65000	0.32831
182.63333	0.80005
182.63333	0.86643
182.63333	0.84564
182.63333	0.86643
182.63333	0.84758
182.63333	0.84774
182.61667	0.85499
182.61667	0.86353
182.61667	0.87706
182.61667	0.88882
182.61667	0.87464
182.60000	0.87626
182.60000	0.87352
182.58333	0.86949
182.58333	0.87948
182.58333	0.88367
182.58333	0.89414
182.56667	0.88044
182.53333	0.81874
182.45000	0.79538
182.35000	0.78974
182.26667	0.82067
182.21667	0.86127
182.16667	0.88802
182.11667	0.90719
182.06667	0.91234
182.05000	0.93587
182.01667	0.94070
182.00000	0.94553
181.98333	0.94231
181.96667	0.94360
181.93333	0.93587
181.90000	0.94424
181.86667	0.94586
181.81667	0.95584
181.76667	0.95536
181.71667	0.95133
181.68333	0.95021
181.66667	0.93619
181.63333	0.93248
181.60000	0.93490
181.56667	0.93426
181.51667	0.93989
181.48333	0.93119
181.46667	0.94183
181.43333	0.92378
181.41667	0.92604
181.36667	0.91976
181.33333	0.91476
181.30000	0.93345
181.25000	0.94473
181.21667	0.96084
181.18333	0.97244
181.13333	0.98033
181.08333	0.98807
181.05000	0.99870
181.00000	0.99757
180.98333	0.99983
180.96667	1.00659
180.93333	1.01964
180.90000	1.02271
180.88333	1.02899
180.85000	1.03157
180.83333	1.04188
180.81667	1.03962
180.80000	1.04220
180.78333	1.04349
180.76667	1.05090
180.75000	1.05364
180.71667	1.05654
180.70000	1.06170
180.68333	1.06395
180.65000	1.06379
180.61667	1.07040
180.58333	1.07603
180.53333	1.07716
180.50000	1.08248
180.46667	1.08699
180.43333	1.07974
180.38333	1.08393
180.35000	1.08506
180.30000	1.08264
180.28333	1.08087
180.25000	1.07620
180.23333	1.06701
180.21667	1.05300
180.18333	1.05283
180.15000	1.05783
180.11667	1.06105
180.08333	1.07426
180.05000	1.08200
180.03333	1.07281
180.01667	1.07797
180.00000	1.03269
179.98333	0.97985
179.98333	0.96712
179.96667	0.95971
179.96667	0.95649
179.96667	0.97469
179.98333	0.97308
179.98333	0.95198
179.98333	0.94312
179.98333	0.93554
180.00000	0.93184
180.00000	0.93103
180.00000	0.92153
180.00000	0.91492
180.00000	0.90058
180.01667	0.88077
180.01667	0.86949
180.01667	0.86224
180.03333	0.81117
180.03333	0.72578
180.05000	0.66149
180.06667	0.58625
180.06667	0.53647
180.08333	0.50054
180.10000	0.47911
180.13333	0.38019
180.21667	0.26822
180.30000	0.27531
180.40000	0.36134
180.46667	0.42917
180.51667	0.59093
180.55000	0.71128
180.58333	0.63394
180.61667	0.75317
180.61667	0.87336
180.61667	0.65038
180.61667	0.34233
180.63333	0.25791
180.66667	0.63056
180.81667	0.83920
181.00000	0.77604
181.13333	0.58722
181.18333	0.04298
181.20000	0.00093
181.21667	-0.00019
181.21667	0.00158
181.23333	-0.00019
181.23333	0.00029
181.23333	-0.00019
181.25000	-0.00116
181.25000	0.00174
181.25000	0.00190
181.26667	-0.00084
181.26667	0.00093
181.26667	0.00335
181.26667	0.00673
181.28333	0.00512
181.28333	0.00512
181.30000	0.01334
181.33333	0.08020
181.36667	0.05926
181.36667	0.02268
181.36667	0.01189
181.38333	0.00754
181.40000	0.01640
181.41667	0.00980
181.43333	0.00818
181.45000	0.00480
181.48333	0.00351
181.51667	0.00238
181.53333	0.00061
181.56667	0.00351
181.61667	0.00335
181.66667	-0.00003
181.71667	-0.00100
181.76667	-0.00100
181.80000	0.00190
181.83333	0.00158
181.85000	0.00126
181.88333	0.00367
181.91667	0.00271
181.95000	-0.00035
182.00000	0.00432
182.05000	0.00013
182.10000	-0.00003
182.13333	0.00303
182.18333	0.00625
182.21667	-0.00132
182.26667	0.00496
182.31667	0.00319
182.36667	0.01688
182.38333	0.02204
182.38333	0.02703
182.40000	0.02623
182.40000	0.02703
182.40000	0.02494
182.40000	0.02591
182.40000	0.02687
182.40000	0.04395
182.40000	0.03557
182.41667	0.04959
182.41667	0.05330
182.41667	0.05410
182.41667	0.00416
182.41667	0.00238
182.41667	0.00013
182.41667	0.00093
182.41667	0.00061
182.41667	-0.00309
182.41667	-0.00261
182.41667	-0.00229
182.41667	-0.00148
182.41667	0.00190
182.41667	0.05330
182.40000	0.43143
182.40000	0.64973
182.40000	0.60140
182.40000	0.60623
182.40000	0.43771
182.40000	0.51988
182.40000	0.62041
182.40000	0.70322
182.40000	0.73399
182.38333	0.69823
182.38333	0.48314
182.38333	0.59221
182.36667	0.62734
182.36667	0.69082
182.36667	0.70515
182.35000	0.74898
182.35000	0.73867
182.33333	0.73013
182.31667	0.72272
182.30000	0.73786
182.28333	0.75123
182.25000	0.78233
182.21667	0.81407
182.16667	0.81890
182.11667	0.82969
182.06667	0.80295
182.03333	0.76638
181.98333	0.75671
181.95000	0.76605
181.93333	0.77363
181.90000	0.79151
181.88333	0.80488
181.83333	0.82953
181.78333	0.84613
181.73333	0.82164
181.68333	0.78700
