Polarization of Light 'Brewsters' Data File Tue, Jan 23, 2018 10:59 AM
Sensor Position (Degrees)	Light Intensity (Volts)
185.40000	0.97856
185.43333	0.98307
185.45000	1.01836
185.48333	1.01288
185.50000	1.01626
185.51667	1.00724
185.53333	1.02367
185.55000	1.01481
185.56667	1.00901
185.60000	0.99806
185.63333	0.95343
185.66667	0.96132
185.70000	0.92636
185.71667	0.93152
185.75000	0.99258
185.78333	1.00756
185.81667	1.04526
185.85000	1.04301
185.88333	1.02931
185.88333	1.00917
185.88333	0.99725
185.88333	0.99918
185.90000	0.99628
185.90000	0.98098
185.90000	0.96599
185.90000	0.96148
185.90000	0.95166
185.90000	0.96293
185.90000	0.97212
185.90000	0.96777
185.90000	0.97131
185.90000	0.97179
185.90000	0.96777
185.91667	0.95536
185.93333	0.91718
185.98333	0.89188
186.01667	0.83517
186.05000	0.84500
186.06667	0.90381
186.08333	0.96986
186.08333	0.97598
186.08333	0.97228
186.08333	0.95584
186.08333	0.90091
186.10000	0.90058
186.11667	0.90187
186.11667	0.87013
186.15000	0.85918
186.15000	0.85016
186.16667	0.87738
186.18333	0.90332
186.18333	0.93989
186.20000	0.96664
186.21667	0.95359
186.23333	0.92427
186.25000	0.88802
186.26667	0.86192
186.26667	0.89478
186.26667	0.93087
186.26667	0.94811
186.26667	0.95729
186.28333	0.97614
186.28333	0.96922
186.28333	0.98388
186.28333	0.97888
186.30000	0.98855
186.30000	0.99226
186.30000	1.00418
186.33333	1.00547
186.38333	1.05332
186.43333	1.08699
186.45000	1.10439
186.45000	1.11003
186.45000	1.11035
186.45000	1.11228
186.45000	1.10826
186.45000	1.10729
186.45000	1.11148
186.45000	1.11293
186.45000	1.10536
186.45000	1.11083
186.45000	1.10503
186.45000	1.10648
186.45000	1.10165
186.46667	1.10165
186.46667	1.10648
186.46667	1.09891
186.46667	1.10761
186.46667	1.10197
186.46667	1.10246
186.46667	1.10971
186.46667	1.10971
186.46667	1.10165
186.48333	1.10101
186.48333	1.10407
186.48333	1.10004
186.50000	1.09472
186.51667	1.08457
186.55000	1.07636
186.58333	1.05396
186.60000	1.04268
186.61667	1.06186
186.61667	1.06170
186.61667	1.06669
186.63333	1.05751
186.63333	1.04703
186.65000	1.04059
186.65000	1.02883
186.66667	1.01836
186.68333	0.98629
186.71667	0.95214
186.73333	0.92636
186.73333	0.90880
186.75000	0.91267
186.76667	0.94698
186.76667	1.00708
186.78333	1.02093
186.80000	1.02480
186.80000	1.02045
186.80000	1.01078
186.81667	1.00885
186.83333	1.02673
186.85000	1.04800
186.85000	1.06588
186.86667	1.07088
186.86667	1.08022
186.88333	1.08602
186.88333	1.08538
186.88333	1.09086
186.88333	1.09714
186.88333	1.09392
186.90000	1.10230
186.90000	1.10729
186.90000	1.10020
186.91667	1.09537
186.91667	1.09005
186.93333	1.09102
186.93333	1.09585
186.93333	1.10085
186.95000	1.09714
186.96667	1.09650
187.00000	1.11261
187.03333	1.12405
187.06667	1.14467
187.08333	1.14870
187.10000	1.14241
187.11667	1.14193
187.13333	1.13983
187.15000	1.14451
187.16667	1.14128
187.16667	1.13855
187.18333	1.13629
187.20000	1.15192
187.21667	1.13838
187.21667	1.14483
187.23333	1.13677
187.23333	1.13468
187.25000	1.13468
187.25000	1.13001
187.25000	1.13291
187.25000	1.12002
187.26667	1.12260
187.26667	1.12163
187.26667	1.11841
187.26667	1.11857
187.28333	1.11180
187.30000	1.09666
187.30000	1.09182
187.33333	1.07571
187.35000	1.09633
187.36667	1.09907
187.38333	1.13806
187.40000	1.15530
187.43333	1.15578
187.45000	1.15417
187.46667	1.15176
187.50000	1.14853
187.53333	1.15160
187.56667	1.14708
187.58333	1.16158
187.60000	1.16368
187.60000	1.16175
187.61667	1.15788
187.61667	1.16465
187.63333	1.15836
187.65000	1.16303
187.68333	1.15546
187.70000	1.14515
187.73333	1.13774
187.73333	1.13710
187.73333	1.14435
187.73333	1.14064
187.75000	1.14064
187.75000	1.13597
187.75000	1.13629
187.75000	1.13468
187.75000	1.13355
187.75000	1.13097
187.76667	1.12936
187.76667	1.12211
187.76667	1.11792
187.76667	1.10810
187.78333	1.09569
187.80000	1.07958
187.80000	1.07877
187.81667	1.06137
187.83333	1.05316
187.85000	1.04220
187.88333	1.01127
187.91667	1.12807
187.93333	1.14257
187.96667	1.15305
187.98333	1.15433
188.00000	1.15820
188.00000	1.15820
188.03333	1.14660
188.05000	1.14000
188.08333	1.11583
188.10000	1.10632
188.11667	1.09440
188.11667	1.08989
188.13333	1.08006
188.13333	1.06814
188.13333	1.07152
188.15000	1.06202
188.15000	1.06105
188.16667	1.04075
188.18333	1.01465
188.21667	0.94553
188.25000	0.82969
188.30000	0.71514
188.31667	0.64522
188.33333	0.62524
188.35000	0.63265
188.35000	0.61139
188.36667	0.60623
188.36667	0.60607
188.36667	0.67648
188.36667	0.67438
188.36667	0.71595
188.36667	0.77443
188.36667	0.80601
188.38333	0.80150
188.38333	0.93732
188.38333	0.97904
188.38333	0.99773
188.38333	1.06846
188.38333	1.13919
188.38333	1.15981
188.38333	1.07330
188.38333	1.08232
188.38333	1.10520
188.38333	1.14257
188.38333	1.16432
188.38333	1.16690
188.38333	1.16787
188.38333	1.16706
188.38333	1.15321
188.38333	1.12308
188.38333	1.12711
188.38333	1.12260
188.38333	1.13242
188.38333	1.14000
188.38333	1.14467
188.38333	1.15885
188.38333	1.15949
188.38333	1.15836
188.38333	1.15836
188.38333	1.14918
